VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardItem.WBP_ScoreboardItem_C:WidgetTree.TextBlock_Date | METIN=29/12/25
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardBase.WBP_ScoreboardBase_C:WidgetTree.TextBlock_Date_2 | METIN=Success
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardBase.WBP_ScoreboardBase_C:WidgetTree.TextBlock_Date_3 | METIN=Fail
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardBase.WBP_ScoreboardBase_C:WidgetTree.TextBlock_Date_4 | METIN=Crash
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardBase.WBP_ScoreboardBase_C:WidgetTree.TextBlock_Date_5 | METIN=Time
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_Spectator.WBP_Spectator_C:WidgetTree.TextBlock_59 | METIN=To spawn the drone: Press "E" key
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_CompletedLevel.WBP_CompletedLevel_C:WidgetTree.Text_MissionCompleted | METIN=MISSION COMPLETED
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_CompletedLevel.WBP_CompletedLevel_C:WidgetTree.Text_MissionFailed | METIN=MISSION FAILED
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SelectedOptions.WBP_SelectedOptions_C:WidgetTree.Text_MapName | METIN=Beach
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SelectedOptions.WBP_SelectedOptions_C:WidgetTree.TextBlock_1 | METIN=Type:
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SelectedOptions.WBP_SelectedOptions_C:WidgetTree.TextBlock_112 | METIN=Map:
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SelectedOptions.WBP_SelectedOptions_C:WidgetTree.TextBlock_3 | METIN=UAV:
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SelectedOptions.WBP_SelectedOptions_C:WidgetTree.TextBlock_Type | METIN=Training
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SelectedOptions.WBP_SelectedOptions_C:WidgetTree.TextBlock_UAV | METIN=Skydagger Toyca
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_LoadingScreenSelf.WBP_LoadingScreenSelf_C:WidgetTree.Text_LoadingPercent | METIN=100%
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_LoadingScreenSelf.WBP_LoadingScreenSelf_C:WidgetTree.TextBlock_355 | METIN=LOADING
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_LoadingScreenSelf.WBP_LoadingScreenSelf_C:WidgetTree.TextBlock_MapName | METIN=MAP NAME
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.Text_CalibrationAssigned | METIN=ASSIGNED!
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.Text_CalibrationInfo | METIN=Start Calibration
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.Text_CalibrationNotAssigned | METIN=NOT ASSIGNED!
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.Text_CalibrationSaved | METIN=SAVED
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.Text_CalibrationTimer | METIN=0.0
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock | METIN=Roll
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_1 | METIN=Respawn
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_10 | METIN=Pitch
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_11 | METIN=Throttle
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_112 | METIN=Roll
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_12 | METIN=Yaw
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_13 | METIN=Flight Mode
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_14 | METIN=Lock Kit
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_2 | METIN=Arm
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_281 | METIN=Reverse
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_3 | METIN=Spawn
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_4 | METIN=Impact
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_5 | METIN=Thermal
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_6 | METIN=Trigger
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_7 | METIN=Yaw
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_8 | METIN=Throttle
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_ControlMenu.WBP_ControlMenu_C:WidgetTree.TextBlock_9 | METIN=Pitch
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.Text | METIN=Pitch Axis Speed
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.Text_1 | METIN=Yaw Axis Speed
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.Text_Brightness | METIN=BRIGHTNESS
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.Text_FOV | METIN=Field of View
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.Text_FOV_1 | METIN=Deadzone
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock | METIN=RC Expo Roll
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_1 | METIN=Roll Axis Speed
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_2 | METIN=MUSIC VOLUME
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_25 | METIN=SFX VOLUME
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_26 | METIN=OVERALL GRAPHICS QUALITY
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_27 | METIN=ANTI ALIASING
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_28 | METIN=SHADOWS
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_29 | METIN=TEXTURES
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_30 | METIN=SHADERS
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_31 | METIN=VIEW DISTANCE
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_32 | METIN=VSYNC
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_34 | METIN=POST PROCESSING
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_35 | METIN=FOLIAGE
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_36 | METIN=GLOBAL ILLUMINATION
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_37 | METIN=REFLECTIONS
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_38 | METIN=EFFECTS
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_4 | METIN=WINDOW MODE
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_5 | METIN=RESOLUTION
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_7 | METIN=RC Expo Pitch
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsMenu.WBP_SettingsMenu_C:WidgetTree.TextBlock_8 | METIN=RC Expo Yaw
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_AIDrone | METIN=Drone
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Controller | METIN=Controller Name
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_ControllerName | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_ControllerType | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Count_Drone | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Count_FixedGun | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Count_Heavy | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Count_Helicopter | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Count_Soldier | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Count_Vehicle | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Crash | METIN=Total Crash
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Crash_1 | METIN=Controller
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_CrashC | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Drone | METIN=Drone
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_DroneType | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_EnemyKilled | METIN=Enemy Killed
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_EnemyKilledC | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_EnemyLeft | METIN=Enemy Left
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_EnemyLeftC | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Explosive | METIN=Explosive
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_ExplosiveType | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Fail | METIN=Fail Kamikaze
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_FailC | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Fixed_Gun | METIN=Fixed Gun Battery
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Heavy | METIN=Heavy
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Helicopter | METIN=Helicopter
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Map | METIN=Map
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_MapMode | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_MapName | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Mode | METIN=Mode
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Soldier | METIN=Soldier
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Success | METIN=Success Kamikaze
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_SuccessC | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_TotalEnemy | METIN=Total Enemy
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_TotalEnemyC | METIN=Null
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.Text_Vehicle | METIN=Vehicle
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.TextBlock_279 | METIN=INFORMATION BOARD
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.TextBlock_CurrentTime | METIN=Elapsed Time
VIS=false | TextBlock /Game/Game/Widget/WBP_ScoreBoard.WBP_ScoreBoard_C:WidgetTree.TextBlock_MapType | METIN=Game Informations
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_AirSpeed | METIN=109kmh
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_AirSpeed_1 | METIN=A
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_AirSpeed_2 | METIN=S
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_ALTValue | METIN=00
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Arm_Notice | METIN=Set throttle to correct position to arm
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Battery_1 | METIN=4.20v
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Battery_2 | METIN=25.2v
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Current1 | METIN=26.3A
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Current2 | METIN=17.7A
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Distance | METIN=-10
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_DistanceInitial | METIN=DIST
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_DistanceValue | METIN=0m
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_FlightMode | METIN=Mode: ANGL AIR
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_GroundSpeed | METIN=97kmh
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_GroundSpeedG | METIN=G
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_GroundSpeeds | METIN=S
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Heading | METIN=260°
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Hover | METIN=8.00A
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_LOW_VOLTAGE | METIN=LOW VOLTAGE
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_LQ | METIN=2:100
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_LQ_1 | METIN=LQ
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Navigation | METIN=>
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_RaceCheckpoint | METIN=0/64
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_RaceTimer | METIN=00:00.00
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_RX_LOSS | METIN=RX LOSS
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_SPD | METIN=SPD
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Speed | METIN=0kmh
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_ThrottlePercent | METIN=100%
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Timer_ | METIN=:
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Timer_Mİnutes | METIN=00
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.Text_Timer_Seconds | METIN=00
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.TextBlock_0 | METIN=FINISH
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.TextBlock_ALT | METIN=ALT
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.TextBlock_Arm | METIN=DISARMED
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.TextBlock_FLYMIN | METIN=fly min
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_MainUAV.WBP_MainUAV_C:WidgetTree.TextBlock_Trigger | METIN=TRIGGER:NOT READY
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.TextBlock_279 | METIN=INFORMATION BOARD
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_ControllerType | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_ControllerName | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_ExplosiveType | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_DroneType | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_MapName | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_MapMode | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Crash_1 | METIN=Controller
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Controller | METIN=Controller Name
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Explosive | METIN=Explosive
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Drone | METIN=Drone
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Map | METIN=Map
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Mode | METIN=Mode
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Count_Drone | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Count_FixedGun | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Count_Helicopter | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Count_Heavy | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Count_Soldier | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Count_Vehicle | METIN=Null
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_AIDrone | METIN=Drone
VIS=false | TextBlock /Engine/Transient.GameEngine_2147482618:BP_GameInstance_C_2147482572.WBP_ScoreBoard_C_2147481347.WidgetTree_2147481346.Text_Fixed_Gun | METIN=Fixed Gun Battery
